pathogen_type,iso3_country,canonical_organism,canonical_drug,static_burden_midpoint,evolutionary_trajectory_slope,n_tested_total,low_n_flag,cluster_id,cluster_label,version,date_added,burden_percentile,trajectory_percentile,composite_priority_score,typology_label,typology_rank,methodology
bacterial,SVK,Streptococcus pneumoniae,cefaclor,0.936842105263158,-2.0000000000007114,95,True,2,cluster_2,v1,2026-07-10,99.03225806451613,94.03225806451613,96.53225806451613,high_burden_high_trajectory,1,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,MAR,Haemophilus influenzae,trimethoprim/sulfamethoxazole,0.75,-3.529446844523902,4,True,4,cluster_4,v1,2026-07-10,94.2741935483871,98.06451612903226,96.16935483870968,high_burden_high_trajectory,2,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,KHM,Streptococcus pneumoniae,cefaclor,0.7708333333333334,-2.9999999999975504,48,True,4,cluster_4,v1,2026-07-10,95.0,96.85483870967741,95.9274193548387,high_burden_high_trajectory,3,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,SGP,Streptococcus pneumoniae,azithromycin,0.7058823529411765,-3.499999999997143,34,True,4,cluster_4,v1,2026-07-10,92.8225806451613,97.90322580645162,95.36290322580646,high_burden_high_trajectory,4,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,SGP,Streptococcus pneumoniae,erythromycin,0.7058823529411765,-2.9999999999975504,34,True,4,cluster_4,v1,2026-07-10,92.8225806451613,96.85483870967741,94.83870967741936,high_burden_high_trajectory,5,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,SGP,Streptococcus pneumoniae,clarithromycin,0.6764705882352942,-3.999999999996736,34,True,4,cluster_4,v1,2026-07-10,91.29032258064517,98.38709677419355,94.83870967741936,high_burden_high_trajectory,6,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,SGP,Streptococcus pneumoniae,cefaclor,0.8235294117647058,-1.999999999998367,34,True,2,cluster_2,v1,2026-07-10,96.12903225806451,93.06451612903226,94.59677419354838,high_burden_high_trajectory,7,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,CHL,Streptococcus pneumoniae,clarithromycin,0.6575342465753424,-2.2647234222638937,73,True,4,cluster_4,v1,2026-07-10,90.32258064516128,95.80645161290322,93.06451612903226,high_burden_high_trajectory,8,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,CHL,Streptococcus pneumoniae,azithromycin,0.6575342465753424,-2.264723422263893,73,True,4,cluster_4,v1,2026-07-10,90.32258064516128,95.64516129032258,92.98387096774192,high_burden_high_trajectory,9,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,CHL,Streptococcus pneumoniae,erythromycin,0.6575342465753424,-2.2647234222637427,73,True,4,cluster_4,v1,2026-07-10,90.32258064516128,95.48387096774194,92.90322580645162,high_burden_high_trajectory,10,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,HRV,Streptococcus pneumoniae,cefaclor,0.8387096774193549,-0.999999999999762,93,True,2,cluster_2,v1,2026-07-10,97.09677419354838,88.54838709677419,92.82258064516128,high_burden_high_trajectory,11,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,ARE,Streptococcus pneumoniae,erythromycin,0.5102040816326531,-6.0588936890532965,49,True,4,cluster_4,v1,2026-07-10,85.24193548387096,100.0,92.62096774193549,high_burden_high_trajectory,12,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,ARE,Streptococcus pneumoniae,azithromycin,0.5102040816326531,-5.05889368905334,49,True,4,cluster_4,v1,2026-07-10,85.24193548387096,99.51612903225806,92.37903225806451,high_burden_high_trajectory,13,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,SAU,Streptococcus pneumoniae,cefaclor,0.75,-1.0000000000001636,36,True,2,cluster_2,v1,2026-07-10,94.2741935483871,89.03225806451613,91.65322580645162,high_burden_high_trajectory,14,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,ARE,Streptococcus pneumoniae,clarithromycin,0.4897959183673469,-5.058893689053339,49,True,4,cluster_4,v1,2026-07-10,83.70967741935483,99.35483870967742,91.53225806451613,high_burden_high_trajectory,15,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
bacterial,KHM,Streptococcus pneumoniae,azithromycin,0.5,-4.058893689050255,48,True,4,cluster_4,v1,2026-07-10,84.43548387096774,98.62903225806451,91.53225806451613,high_burden_high_trajectory,16,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
