iso3_country,burden_midpoint_weighted,mean_evolutionary_fitness_slope,health_expenditure_pct_gdp,hospital_beds_per_1000,antimicrobial_consumption_ddd,n_surveillance_years,consumption_included,consumption_data_gap,life_expectancy,burden_risk_percentile,trajectory_risk_percentile,health_capacity_risk_percentile,consumption_risk_percentile,n_risk_components_core,composite_risk_score_core,composite_risk_score_with_consumption,n_risk_components_available,composite_risk_score,risk_rank_core,risk_rank,pathogen_type,methodology,vaccination_excluded_note,version,date_added,quality_gate,gate_reason,risk_rank_ungated,composite_risk_score_ungated,composite_risk_score_core_ungated
SGP,0.2682119205298013,-0.8849347621796669,4.371271419072848,2.4957119205298013,,2,False,no_esac_net_match_for_country_year,83.09512195121954,83.33333333333334,92.5925925925926,74.0909090909091,,3,83.33894500561168,,3,83.33894500561168,1,1.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,1,83.33894500561168,83.33894500561168
KHM,0.2568493150684931,-1.3827712195174615,4.4566962784246575,,,2,False,no_esac_net_match_for_country_year,69.842,73.33333333333333,100.0,73.33333333333333,,3,82.22222222222221,,3,82.22222222222221,2,2.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,2,82.22222222222221,82.22222222222221
KEN,0.3484848484848485,-0.2120141888992053,4.253564884999999,,,3,False,no_esac_net_match_for_country_year,62.825,93.33333333333331,66.66666666666666,83.33333333333334,,3,81.11111111111111,,3,81.11111111111111,3,3.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,3,81.11111111111111,81.11111111111111
IND,0.3255336617405583,0.0999373595832186,3.3040216085344825,1.596896551724138,,3,False,no_esac_net_match_for_country_year,67.282,86.66666666666667,37.03703703703704,92.12121212121212,,3,71.94163860830527,,3,71.94163860830527,4,4.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,4,71.94163860830527,71.94163860830527
ARE,0.2228915662650602,-0.8424074383004688,5.467780569397591,1.8893975903614455,,2,False,no_esac_net_match_for_country_year,79.083,56.66666666666666,88.88888888888889,69.84848484848484,,3,71.8013468013468,,3,71.8013468013468,5,5.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,5,71.8013468013468,71.8013468013468
PAK,0.2557993072320772,0.0301918951957748,2.762615738956649,,,6,False,no_esac_net_match_for_country_year,65.773,70.0,48.14814814814815,96.66666666666669,,3,71.60493827160495,,3,71.60493827160495,6,6.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,6,71.60493827160495,71.60493827160495
SVK,0.2377917743720418,-1.0575689157147754,6.788145955418059,5.755886287625418,13.1559215,2,True,,77.16585365853659,66.66666666666666,96.29629629629628,33.63636363636363,14.285714285714285,3,65.53310886644219,52.72126022126021,4,65.53310886644219,7,7.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,7,65.53310886644219,65.53310886644219
VNM,0.638220432416103,0.1930503768717537,4.652606445235937,,,5,False,no_esac_net_match_for_country_year,74.145,100.0,25.925925925925924,70.0,,3,65.30864197530865,,3,65.30864197530865,8,8.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,8,65.30864197530865,65.30864197530865
GHA,0.125,,2.68786979,,,1,False,no_esac_net_match_for_country_year,63.829,30.0,,100.0,,2,,,2,,9,,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,withhold,missing_country_gate,9,65.0,65.0
SAU,0.1883910386965376,-0.5668740393507304,6.146597266700611,2.3314663951120163,,3,False,no_esac_net_match_for_country_year,78.721,46.66666666666666,77.77777777777779,61.36363636363637,,3,61.93602693602694,,3,61.93602693602694,10,9.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,10,61.93602693602694,61.93602693602694
