iso3_country,burden_midpoint_weighted,mean_evolutionary_fitness_slope,health_expenditure_pct_gdp,hospital_beds_per_1000,antimicrobial_consumption_ddd,n_surveillance_years,consumption_included,consumption_data_gap,burden_risk_percentile,trajectory_risk_percentile,health_capacity_risk_percentile,consumption_risk_percentile,n_risk_components_core,composite_risk_score_core,composite_risk_score_with_consumption,n_risk_components_available,composite_risk_score,risk_rank_core,risk_rank,pathogen_type,methodology,vaccination_excluded_note,version,date_added
SGP,0.28041773372406464,-0.8849347621796669,4.371271419072848,2.4957119205298013,,2,False,no_esac_net_match_for_country_year,83.33333333333334,92.5925925925926,74.0909090909091,,3,83.33894500561168,,3,83.33894500561168,1,1,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
KHM,0.2635306183735308,-1.3827712195174615,4.4566962784246575,,,2,False,no_esac_net_match_for_country_year,76.66666666666667,100.0,73.33333333333333,,3,83.33333333333333,,3,83.33333333333333,2,2,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
KEN,0.35956152433425165,-0.21201418889920537,4.253564884999999,,,3,False,no_esac_net_match_for_country_year,93.33333333333333,66.66666666666666,83.33333333333334,,3,81.11111111111111,,3,81.11111111111111,3,3,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
ARE,0.22482487150648056,-0.8424074383004688,5.467780569397591,1.8893975903614457,,2,False,no_esac_net_match_for_country_year,60.0,88.88888888888889,69.84848484848484,,3,72.91245791245791,,3,72.91245791245791,4,4,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
IND,0.3259668416384336,0.0999373595832186,3.3040216085344825,1.596896551724138,,3,False,no_esac_net_match_for_country_year,86.66666666666667,37.03703703703704,92.12121212121212,,3,71.94163860830527,,3,71.94163860830527,5,5,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
PAK,0.2604674647985815,0.03019189519577483,2.7626157389566495,,,6,False,no_esac_net_match_for_country_year,70.0,48.148148148148145,96.66666666666667,,3,71.60493827160495,,3,71.60493827160495,6,6,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
GHA,0.1666666666666666,,2.68786979,,,1,False,no_esac_net_match_for_country_year,36.666666666666664,,100.0,,2,68.33333333333333,,2,68.33333333333333,7,7,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
SVK,0.2530989453314576,-1.0575689157147754,6.788145955418059,5.755886287625418,13.1559215,2,True,,66.66666666666666,96.29629629629629,33.63636363636363,14.285714285714285,3,65.53310886644219,52.72126022126021,4,65.53310886644219,8,8,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
VNM,0.6364964803440051,0.19305037687175375,4.652606445235937,,,5,False,no_esac_net_match_for_country_year,100.0,25.925925925925924,70.0,,3,65.30864197530865,,3,65.30864197530865,9,9,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
SAU,0.21321419101852393,-0.5668740393507304,6.146597266700611,2.3314663951120163,,3,False,no_esac_net_match_for_country_year,50.0,77.77777777777779,61.36363636363637,,3,63.04713804713805,,3,63.04713804713805,10,10,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in Justice Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-10
