start_year,pathogen_type,amount_usd_prorated_total,version,date_added
1975,bacterial,651690.0,v1,2026-07-18
1977,bacterial,1764592.5,v1,2026-07-18
1980,bacterial,706636.19,v1,2026-07-18
1982,bacterial,1129148.25,v1,2026-07-18
1983,bacterial,338972.25,v1,2026-07-18
1984,bacterial,650723.0,v1,2026-07-18
1985,bacterial,3352667.75,v1,2026-07-18
1986,bacterial,1803251.25,v1,2026-07-18
1988,bacterial,6773471.38,v1,2026-07-18
1988,fungal,453668.88,v1,2026-07-18
1989,bacterial,2108811.25,v1,2026-07-18
1990,bacterial,1533444.0,v1,2026-07-18
1991,bacterial,6181699.0,v1,2026-07-18
1992,bacterial,8837247.25,v1,2026-07-18
1993,bacterial,1058559.5,v1,2026-07-18
1993,fungal,1450875.0,v1,2026-07-18
1994,bacterial,969870.0,v1,2026-07-18
1995,fungal,421548.46,v1,2026-07-18
1996,bacterial,4988502.29,v1,2026-07-18
1997,bacterial,5966427.5,v1,2026-07-18
1998,bacterial,5000514.86,v1,2026-07-18
1999,bacterial,5356858.24,v1,2026-07-18
2000,bacterial,3720507.92,v1,2026-07-18
2001,bacterial,13857129.2,v1,2026-07-18
2001,fungal,1938171.5,v1,2026-07-18
2002,bacterial,20879338.0,v1,2026-07-18
2003,bacterial,11174472.99,v1,2026-07-18
2003,fungal,1165344.24,v1,2026-07-18
2004,bacterial,7593913.76,v1,2026-07-18
2005,bacterial,10127463.13,v1,2026-07-18
2005,fungal,950335.41,v1,2026-07-18
2006,bacterial,5023058.27,v1,2026-07-18
2006,fungal,171400.68,v1,2026-07-18
2007,bacterial,89962631.46000001,v1,2026-07-18
2008,bacterial,6056437.890000001,v1,2026-07-18
2008,fungal,4620944.93,v1,2026-07-18
2009,bacterial,54229936.444,v1,2026-07-18
2009,fungal,1670169.536,v1,2026-07-18
2010,bacterial,45093163.339999996,v1,2026-07-18
2010,fungal,258153.75,v1,2026-07-18
2011,bacterial,60293509.82,v1,2026-07-18
2011,fungal,5963668.4799999995,v1,2026-07-18
2012,bacterial,163580541.64000002,v1,2026-07-18
2012,fungal,17258127.2,v1,2026-07-18
2013,bacterial,390034406.87833333,v1,2026-07-18
2013,fungal,10417082.651666667,v1,2026-07-18
2014,bacterial,453801898.1661905,v1,2026-07-18
2014,fungal,11827444.953809524,v1,2026-07-18
2015,bacterial,961205947.4591666,v1,2026-07-18
2015,fungal,9655818.410833333,v1,2026-07-18
2016,bacterial,1265913887.866,v1,2026-07-18
2016,fungal,179282410.93400002,v1,2026-07-18
2017,bacterial,1793650151.675476,v1,2026-07-18
2017,fungal,85474061.39452381,v1,2026-07-18
2018,bacterial,1622870286.0056667,v1,2026-07-18
2018,fungal,109299705.38433333,v1,2026-07-18
2019,bacterial,1831261114.2375,v1,2026-07-18
2019,fungal,78425722.0025,v1,2026-07-18
2020,bacterial,2154294123.085,v1,2026-07-18
2020,fungal,45658979.485,v1,2026-07-18
2021,bacterial,1696842030.3508334,v1,2026-07-18
2021,fungal,63814150.59916667,v1,2026-07-18
2022,bacterial,1094634040.4575,v1,2026-07-18
2022,fungal,70438684.9325,v1,2026-07-18
2023,bacterial,1466557033.08,v1,2026-07-18
2023,fungal,48962642.56,v1,2026-07-18
2024,bacterial,1019905863.5283333,v1,2026-07-18
2024,fungal,121508533.98166665,v1,2026-07-18
2025,bacterial,318245436.19,v1,2026-07-18
2025,fungal,24780712.2,v1,2026-07-18
2026,bacterial,222517616.03,v1,2026-07-18
2026,fungal,5186626.02,v1,2026-07-18
