pathogen_type,canonical_organism,canonical_drug,quality_gate,gate_reason,n_master_rows,n_interpretable_rows
bacterial,Escherichia coli,UNRESOLVED,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,amoxicillin,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,amoxicillin/clavulanate,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,ampicillin,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,azithromycin,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,cefaclor,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,cefdinir,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,cefixime,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,cefpodoxime,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,ceftriaxone,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,cefuroxime,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,clarithromycin,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,erythromycin,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,levofloxacin,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,moxifloxacin,pass,interpretable_classification_majority,106,106
bacterial,Escherichia coli,penicillin,bounds_only,majority_non_interpretable_basis,106,0
bacterial,Escherichia coli,trimethoprim/sulfamethoxazole,pass,interpretable_classification_majority,106,106
bacterial,Haemophilus influenzae,UNRESOLVED,bounds_only,majority_non_interpretable_basis,1071,0
bacterial,Haemophilus influenzae,amoxicillin,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,amoxicillin/clavulanate,pass,interpretable_classification_majority,5194,5194
bacterial,Haemophilus influenzae,ampicillin,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,azithromycin,bounds_only,majority_non_interpretable_basis,3666,0
bacterial,Haemophilus influenzae,cefaclor,bounds_only,majority_non_interpretable_basis,3666,0
bacterial,Haemophilus influenzae,cefdinir,bounds_only,majority_non_interpretable_basis,2599,0
bacterial,Haemophilus influenzae,cefixime,pass,interpretable_classification_majority,2599,2599
bacterial,Haemophilus influenzae,cefotaxime,pass,interpretable_classification_majority,1528,1528
bacterial,Haemophilus influenzae,cefpodoxime,pass,interpretable_classification_majority,2599,2599
bacterial,Haemophilus influenzae,ceftibuten,pass,interpretable_classification_majority,1528,1528
bacterial,Haemophilus influenzae,ceftriaxone,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,cefuroxime,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,clarithromycin,bounds_only,majority_non_interpretable_basis,3666,0
bacterial,Haemophilus influenzae,levofloxacin,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,moxifloxacin,pass,interpretable_classification_majority,3666,3666
bacterial,Haemophilus influenzae,tetracycline,pass,interpretable_classification_majority,1528,1528
bacterial,Haemophilus influenzae,trimethoprim/sulfamethoxazole,pass,interpretable_classification_majority,3666,3666
bacterial,Klebsiella pneumoniae,UNRESOLVED,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,amoxicillin,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,amoxicillin/clavulanate,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,ampicillin,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,azithromycin,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,cefaclor,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,cefdinir,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,cefixime,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,cefpodoxime,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,ceftriaxone,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,cefuroxime,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,clarithromycin,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,erythromycin,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,levofloxacin,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,moxifloxacin,pass,interpretable_classification_majority,73,73
bacterial,Klebsiella pneumoniae,penicillin,bounds_only,majority_non_interpretable_basis,73,0
bacterial,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,pass,interpretable_classification_majority,73,73
bacterial,Streptococcus pneumoniae,UNRESOLVED,bounds_only,majority_non_interpretable_basis,1068,0
bacterial,Streptococcus pneumoniae,amoxicillin,bounds_only,majority_non_interpretable_basis,3407,0
bacterial,Streptococcus pneumoniae,amoxicillin/clavulanate,bounds_only,majority_non_interpretable_basis,4400,0
bacterial,Streptococcus pneumoniae,ampicillin,pass,interpretable_classification_majority,2414,2068
bacterial,Streptococcus pneumoniae,azithromycin,pass,interpretable_classification_majority,3407,3407
