species,drug,n_classified,n_clsi_breakpoint,n_ecv_wt,n_ecv_nwt,n_unclassifiable,ecv_used,version,date_added
Acremonium strictum genogroup III,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Amphotericin B,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Amphotericin B,319,0,0,0,319,,v1,2026-07-06
Aspergillus foetidus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Amphotericin B,2085,0,0,0,2085,,v1,2026-07-06
Aspergillus fumisynnematus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Amphotericin B,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Amphotericin B,49,0,0,0,49,,v1,2026-07-06
Aspergillus nidulans species complex,Amphotericin B,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Amphotericin B,143,0,0,0,143,,v1,2026-07-06
Aspergillus niger species complex,Amphotericin B,216,0,0,0,216,,v1,2026-07-06
Aspergillus nomius,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Aspergillus ochraceus species complex,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Amphotericin B,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Amphotericin B,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Amphotericin B,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Amphotericin B,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Amphotericin B,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Amphotericin B,7,0,0,0,7,,v1,2026-07-06
