term,coefficient,robust_se,p_value,pathogen_type,version,date_added
const,-250.7203039157862,418.5922145097315,0.5491990632053662,bacterial,v1,2026-07-08
burden_midpoint_weighted,-10.760792609308119,5.091114755073745,0.03454587865324357,bacterial,v1,2026-07-08
mean_evolutionary_fitness_slope,0.20968152072183077,1.0121544566863014,0.8358821247068899,bacterial,v1,2026-07-08
health_expenditure_pct_gdp,0.828070782367694,0.20830284300139112,7.028422636424296e-05,bacterial,v1,2026-07-08
parsed_year,0.13553880703566068,0.20752633665920117,0.5136813858012904,bacterial,v1,2026-07-08
hib3_coverage_pct,0.539513786544183,0.04793835098402487,2.2050762168256812e-29,bacterial,v1,2026-07-08
pcvc_coverage_pct,0.008695550967107196,0.015076775511252496,0.5641074232997633,bacterial,v1,2026-07-08
const,-101.03950247636323,119.25281320597097,0.3968438431373932,fungal,v1,2026-07-08
burden_midpoint_weighted,3.519144116978895,4.312664635488561,0.41449883944075494,fungal,v1,2026-07-08
mean_evolutionary_fitness_slope,-0.8339268942839819,5.418246844804573,0.8776800410756636,fungal,v1,2026-07-08
health_expenditure_pct_gdp,0.4562690085301304,0.08667641446177565,1.4091584226083474e-07,fungal,v1,2026-07-08
parsed_year,0.0873639888699111,0.05916029001557792,0.13974705798777196,fungal,v1,2026-07-08
