k,mean_silhouette,n_combinations,selected,selected_k,selected_silhouette,pathogen_type,version,date_added
2,0.44991272882282135,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
3,0.5147335882575597,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
4,0.49501005511414725,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
5,0.5189794158872756,620,True,5,0.5189794158872756,bacterial,v1,2026-07-08
6,0.5015883525257903,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
7,0.5083023811952239,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
8,0.5080470687120724,620,False,5,0.5189794158872756,bacterial,v1,2026-07-08
2,0.593798819986261,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
3,0.612900511514528,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
4,0.6156289937273581,1288,True,4,0.6156289937273581,fungal,v1,2026-07-08
5,0.5980272058441125,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
6,0.5580992900820367,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
7,0.5700860017450139,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
8,0.5728148935370616,1288,False,4,0.6156289937273581,fungal,v1,2026-07-08
