pathogen_type,iso3_country,canonical_organism,canonical_drug,static_burden_midpoint,evolutionary_trajectory_slope,n_tested_total,low_n_flag,cluster_id,cluster_label,version,date_added
fungal,ARG,Candida albicans,Amphotericin B,0.0,0.0627476882430655,178,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida albicans,Itraconazole,0.055232558139534885,0.0199619771863114,167,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida albicans,Posaconazole,0.06179775280898876,-0.0077939233817677,178,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida dubliniensis,Itraconazole,0.0,0.0873015873015879,6,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida dubliniensis,Posaconazole,0.0,0.117460317460319,6,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida glabrata,Amphotericin B,0.0,0.0131659522351512,36,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida glabrata,Itraconazole,0.08333333333333333,0.1154939221468247,34,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida glabrata,Posaconazole,0.05555555555555555,0.1061917104160819,36,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida glabrata,Voriconazole,0.05555555555555555,0.1742418256622581,36,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida guilliermondii,Amphotericin B,0.0,0.0789473684210518,5,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida krusei,Amphotericin B,0.0,1.9028124016606442e-17,9,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida krusei,Itraconazole,0.0,0.1221590909090821,9,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida krusei,Posaconazole,0.0,0.1420454545454476,9,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida lusitaniae,Amphotericin B,0.0,0.2653061224489968,3,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida parapsilosis,Amphotericin B,0.0,0.0512188044109122,84,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida parapsilosis,Itraconazole,0.00625,0.0495427567414593,79,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida parapsilosis,Posaconazole,0.0,-0.0254785952701427,84,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida tropicalis,Amphotericin B,0.0,0.0134210526315789,54,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Candida tropicalis,Itraconazole,0.009433962264150943,0.0255438617703673,52,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Cryptococcus neoformans var. grubii,Amphotericin B,0.0,0.1222222222222162,5,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Cryptococcus neoformans var. grubii,Fluconazole,0.0,-1.980393608136673e-19,5,True,0,cluster_0,v1,2026-07-08
fungal,ARG,Cryptococcus neoformans var. grubii,Posaconazole,0.0,0.2516425619954238,5,True,0,cluster_0,v1,2026-07-08
