canonical_organism,drug_class,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,Aminopenicillin,ARE,2020,CVS: Blood,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2020,Respiratory: Endotracheal aspirate,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2020,Respiratory: Sputum,12,24,3,0,21,2.0,0.25,-0.75,-1.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2021,CVS: Blood,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2021,Respiratory: Bronchoalveolar lavage,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2021,Respiratory: Endotracheal aspirate,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2021,Respiratory: Other,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARE,2021,Respiratory: Sputum,12,24,4,0,20,2.0,0.3333333333333333,-0.6666666666666666,-1.0,0.16666666666666666,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2015,Respiratory: Bronchoalveolar lavage,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2015,Respiratory: Sputum,3,6,2,0,4,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,CVS: Blood,6,12,4,0,8,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,HEENT: Middle ear,6,12,4,0,8,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,Respiratory: Bronchoalveolar lavage,15,30,6,0,24,2.0,0.4,-0.6,-1.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,Respiratory: Sinuses,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,Respiratory: Sputum,34,68,20,0,48,2.0,0.5882352941176471,-0.4117647058823529,-1.0,0.29411764705882354,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2016,Respiratory: Transtracheal aspirate,10,20,2,0,18,2.0,0.2,-0.8,-1.0,0.1,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2017,CVS: Blood,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2017,Respiratory: Bronchoalveolar lavage,6,12,0,0,12,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ARG,2017,Respiratory: Sputum,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2014,HEENT: Middle ear,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2014,Respiratory: Sinuses,4,8,0,0,8,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2014,Respiratory: Sputum,7,14,1,0,13,2.0,0.14285714285714285,-0.8571428571428571,-1.0,0.07142857142857142,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2015,HEENT: Middle ear,23,46,0,0,46,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2015,Respiratory: Other,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2015,Respiratory: Sinuses,17,34,1,0,33,2.0,0.058823529411764705,-0.9411764705882353,-1.0,0.029411764705882353,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,BGR,2015,Respiratory: Sputum,19,38,1,0,37,2.0,0.05263157894736842,-0.9473684210526315,-1.0,0.02631578947368421,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2015,Respiratory: Sinuses,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2016,CVS: Blood,2,4,2,0,2,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2016,Respiratory: Bronchoalveolar lavage,2,4,2,0,2,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2016,Respiratory: Sputum,18,36,6,0,30,2.0,0.3333333333333333,-0.6666666666666666,-1.0,0.16666666666666666,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2016,Respiratory: Transtracheal aspirate,34,68,8,0,60,2.0,0.23529411764705882,-0.7647058823529411,-1.0,0.11764705882352941,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2017,Respiratory: Sinuses,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2017,Respiratory: Sputum,4,8,0,0,8,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CHL,2017,Respiratory: Transtracheal aspirate,15,30,6,0,24,2.0,0.4,-0.6,-1.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2016,Respiratory: Bronchoalveolar lavage,7,14,6,0,8,2.0,0.8571428571428571,-0.14285714285714285,-1.0,0.42857142857142855,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2016,Respiratory: Sputum,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,CVS: Blood,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,HEENT: Middle ear,4,8,0,0,8,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,Respiratory: Bronchoalveolar lavage,29,58,17,0,41,2.0,0.5862068965517241,-0.41379310344827586,-1.0,0.29310344827586204,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,Respiratory: Sinuses,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,Respiratory: Sputum,4,8,7,0,1,2.0,1.75,0.75,-1.0,0.875,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CRI,2017,Respiratory: Transtracheal aspirate,4,8,2,0,6,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2014,CVS: Blood,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2014,HEENT: Middle ear,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2014,Respiratory: Bronchoalveolar lavage,4,8,0,0,8,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2014,Respiratory: Endotracheal aspirate,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2014,Respiratory: Sinuses,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
