canonical_organism,canonical_drug,drug_class,dosing_variant,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2020,CVS: Blood,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2020,Respiratory: Endotracheal aspirate,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2020,Respiratory: Sputum,12,12,1,0,11,1.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2021,CVS: Blood,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2021,Respiratory: Bronchoalveolar lavage,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2021,Respiratory: Endotracheal aspirate,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2021,Respiratory: Other,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARE,2021,Respiratory: Sputum,12,12,2,0,10,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARG,2015,Respiratory: Bronchoalveolar lavage,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARG,2015,Respiratory: Sputum,3,3,1,0,2,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARG,2016,CVS: Blood,6,6,2,0,4,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,ARG,2016,HEENT: Middle ear,6,6,2,0,4,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,True,v1,2026-07-08
