canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_classified,n_wt,n_nwt,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Aspergillus flavus,Itraconazole,Triazole,BRA,2022,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,BRA,2023,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,CZE,2022,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,GRC,2023,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,ITA,2023,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,JPN,2022,Unknown,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,ROU,2023,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,USA,2022,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,USA,2023,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Itraconazole,Triazole,USA,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,BRA,2022,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,BRA,2023,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,CZE,2022,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,GRC,2023,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,ITA,2023,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,JPN,2022,Unknown,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,ROU,2023,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,USA,2022,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,USA,2023,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus,Posaconazole,Triazole,USA,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2016,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2017,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2018,Sputum,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2020,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2021,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2021,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2021,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2022,Bronchoalveolar lavage/wash,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2022,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2023,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2024,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,AUS,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BEL,2018,Sputum,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BEL,2022,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2010,Sinus,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2011,Sinus,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2012,Other,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2013,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2014,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2014,Skin/Soft Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2015,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2015,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2016,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2018,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2018,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2020,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2021,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2021,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2022,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2022,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2023,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,BRA,2023,Tissue,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2011,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2012,Sputum,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
