canonical_organism,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Aspergillus fumigatus,Triazole,AUS,2011,Unknown,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2012,Sputum,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2014,Bronchoalveolar lavage/wash,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2014,Sputum,10,10,9,1,0,1.0,0.9,0.9,0.0,0.9,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2014,Unknown,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2015,Bronchoalveolar lavage/wash,6,6,6,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2015,"Ears,nose,throat",1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2015,Sputum,29,29,27,2,0,1.0,0.9310344827586207,0.9310344827586207,0.0,0.9310344827586207,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2015,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2016,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2016,Bronchoalveolar lavage/wash,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2016,Sputum,6,6,6,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2016,Unknown,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Bronchoalveolar lavage/wash,3,6,5,1,0,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Cerebrospinal fluid,1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Sputum,14,28,28,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Tissue,2,4,3,1,0,2.0,1.5,0.5,-1.0,0.75,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2017,Unknown,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2018,Sputum,11,22,20,1,1,2.0,1.8181818181818181,0.8181818181818182,-1.0,0.9090909090909091,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2018,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2019,Bronchoalveolar lavage/wash,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2019,Lower Respiratory Tract,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2019,Sputum,6,12,12,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2019,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2019,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2020,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2020,Sputum,8,16,14,2,0,2.0,1.75,0.75,-1.0,0.875,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2021,Bronchoalveolar lavage/wash,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2021,Lower Respiratory Tract,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2021,Sputum,5,10,10,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2021,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2022,Bronchoalveolar lavage/wash,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2022,Sputum,6,12,12,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2022,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2022,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2022,Unknown,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2023,Bronchoalveolar lavage/wash,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2023,Sputum,9,18,18,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2023,Tracheal aspirate,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
