canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2011,Unknown,4,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2012,Sputum,1,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2014,Bronchoalveolar lavage/wash,3,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2014,Sputum,10,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2014,Unknown,1,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2015,Bronchoalveolar lavage/wash,6,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2015,"Ears,nose,throat",1,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2015,Sputum,29,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2015,Tracheal aspirate,1,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2016,Blood culture,1,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2016,Bronchoalveolar lavage/wash,3,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2016,Sputum,6,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2016,Unknown,2,0,0,0,0,0.0,0.0,1.0,1.0,,True,v1,2026-07-08
Aspergillus fumigatus,Isavuconazole,Triazole,AUS,2017,Bronchoalveolar lavage/wash,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
