iso3_country,canonical_organism,canonical_drug,dosing_variant,parsed_year,n_isolates,median_distance_to_failure,mixed_breakpoint_versions_in_cell,low_n_flag,version,date_added
ARE,Haemophilus influenzae,amoxicillin,,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,amoxicillin,,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,amoxicillin/clavulanate,fixed_2ug,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,amoxicillin/clavulanate,fixed_2ug,2021,19,3.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,amoxicillin/clavulanate,standard,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,amoxicillin/clavulanate,standard,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ampicillin,,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ampicillin,,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefixime,,2020,15,2.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefixime,,2021,19,2.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefotaxime,,2020,15,3.965784284662087,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefotaxime,,2021,19,3.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefpodoxime,,2020,15,2.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefpodoxime,,2021,19,2.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ceftibuten,,2020,15,4.058893689053568,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ceftibuten,,2021,19,4.058893689053568,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ceftriaxone,,2020,15,4.965784284662087,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,ceftriaxone,,2021,19,4.965784284662087,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefuroxime,,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,cefuroxime,,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,levofloxacin,,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,levofloxacin,,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,moxifloxacin,,2020,15,2.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,moxifloxacin,,2021,19,3.0588936890535683,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,tetracycline,,2020,15,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,tetracycline,,2021,19,2.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,trimethoprim/sulfamethoxazole,,2020,15,0.0,False,True,v1,2026-07-08
ARE,Haemophilus influenzae,trimethoprim/sulfamethoxazole,,2021,19,0.0,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,azithromycin,,2020,11,3.0588936890535683,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,azithromycin,,2021,38,-2.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefaclor,,2020,11,-3.0,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefaclor,,2021,38,-3.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefotaxime,,2020,11,4.058893689053569,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefotaxime,,2021,38,3.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefpodoxime,,2020,11,1.0,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefpodoxime,,2021,38,1.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,ceftriaxone,,2020,11,3.0,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,ceftriaxone,,2021,38,3.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefuroxime,,2020,11,2.0,False,True,v1,2026-07-08
ARE,Streptococcus pneumoniae,cefuroxime,,2021,38,2.0,False,False,v1,2026-07-08
ARE,Streptococcus pneumoniae,clarithromycin,,2020,11,4.058893689053568,False,True,v1,2026-07-08
