iso3_country,canonical_organism,canonical_drug,parsed_year,n_isolates,median_distance_to_failure,low_n_flag,version,date_added
ARG,Aspergillus niger species complex,Itraconazole,2012,1,0.0,True,v1,2026-07-08
ARG,Aspergillus niger species complex,Posaconazole,2012,1,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2010,10,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2011,7,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2012,11,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2013,8,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2015,2,1.5,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2016,9,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2017,17,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2018,20,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2019,16,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2020,13,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2021,20,3.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2022,22,2.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2023,15,1.0,True,v1,2026-07-08
ARG,Candida albicans,Amphotericin B,2024,8,2.0,True,v1,2026-07-08
ARG,Candida albicans,Flucytosine,2010,10,0.0,True,v1,2026-07-08
ARG,Candida albicans,Flucytosine,2011,7,0.0,True,v1,2026-07-08
ARG,Candida albicans,Flucytosine,2012,11,0.0,True,v1,2026-07-08
ARG,Candida albicans,Flucytosine,2013,8,0.0,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2010,10,1.4999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2011,7,1.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2012,11,1.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2013,8,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2017,17,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2018,20,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2019,16,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2020,13,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2021,20,1.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2022,22,1.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2023,15,0.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,2024,8,2.9999999999999996,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2010,10,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2011,7,2.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2012,11,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2013,8,0.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2015,2,1.5,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2016,9,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2017,17,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2018,20,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2019,16,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2020,13,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2021,20,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2022,22,1.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2023,15,0.0,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,2024,8,2.0,True,v1,2026-07-08
ARG,Candida dubliniensis,Flucytosine,2012,1,0.0,True,v1,2026-07-08
ARG,Candida dubliniensis,Itraconazole,2012,1,2.0588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Itraconazole,2020,2,2.5588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Itraconazole,2021,1,3.0588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Itraconazole,2024,2,3.0588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Posaconazole,2012,1,2.0588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Posaconazole,2020,2,2.5588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Posaconazole,2021,1,3.0588936890535683,True,v1,2026-07-08
ARG,Candida dubliniensis,Posaconazole,2024,2,3.5588936890535683,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2010,1,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2011,2,1.5,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2012,3,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2015,1,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2016,1,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2017,1,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2018,1,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2019,2,1.5,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2020,8,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2021,2,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2022,7,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2023,3,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,2024,4,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2010,1,-6.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2011,2,-3.5,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2012,3,-5.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2015,1,-5.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2016,1,-2.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2017,1,-3.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2018,1,-4.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2019,2,-3.5,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2020,8,-2.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2021,2,-3.5,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2022,7,-3.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2023,3,-3.0,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,2024,4,-3.0,True,v1,2026-07-08
ARG,Candida glabrata,Flucytosine,2010,1,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Flucytosine,2011,2,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Flucytosine,2012,3,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2010,1,-1.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2011,2,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2012,3,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2017,1,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2018,1,4.058893689053569,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2019,2,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2020,8,2.5,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2021,2,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2022,7,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2023,3,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,2024,4,1.5,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2010,1,-2.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2011,2,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2012,3,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2015,1,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2016,1,3.0588936890535687,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2017,1,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2018,1,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2019,2,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2020,8,2.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2021,2,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2022,7,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2023,3,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,2024,4,0.5,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2010,1,-1.0,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2011,2,1.5294468445267844,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2012,3,1.0,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2015,1,0.0,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2016,1,4.058893689053568,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2017,1,3.0588936890535683,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2018,1,2.0588936890535687,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2019,2,1.5294468445267844,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2020,8,3.0588936890535683,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2021,2,1.5294468445267844,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2022,7,3.0588936890535683,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2023,3,3.0588936890535683,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,2024,4,2.0588936890535687,True,v1,2026-07-08
ARG,Candida guilliermondii,Amphotericin B,2010,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Amphotericin B,2011,1,2.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Amphotericin B,2013,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Amphotericin B,2018,2,2.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Flucytosine,2010,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Flucytosine,2011,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Flucytosine,2013,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Itraconazole,2010,1,-1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Itraconazole,2011,1,2.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Itraconazole,2013,1,0.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Itraconazole,2018,2,0.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Posaconazole,2010,1,-1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Posaconazole,2011,1,1.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Posaconazole,2013,1,0.0,True,v1,2026-07-08
ARG,Candida guilliermondii,Posaconazole,2018,2,0.0,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,2013,1,1.0,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,2017,3,1.0,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,2018,2,1.0,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,2019,2,1.0,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,2021,1,1.0,True,v1,2026-07-08
ARG,Candida krusei,Flucytosine,2013,1,1.0,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,2013,1,1.0,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,2017,3,1.0,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,2018,2,1.5,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,2019,2,1.5,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,2021,1,2.0,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,2013,1,0.0,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,2017,3,0.0,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,2018,2,0.5,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,2019,2,1.0,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,2021,1,1.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Amphotericin B,2013,1,1.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Amphotericin B,2016,1,1.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Amphotericin B,2021,1,3.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Flucytosine,2013,1,0.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Itraconazole,2013,1,2.0588936890535687,True,v1,2026-07-08
ARG,Candida lusitaniae,Itraconazole,2021,1,1.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Posaconazole,2013,1,0.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Posaconazole,2016,1,0.0,True,v1,2026-07-08
