iso3_country,canonical_organism,canonical_drug,n_years,first_year,last_year,total_n_isolates,min_n_isolates_across_years,evolutionary_fitness_score_slope,intercept,pearson_r,low_density_flag,version,date_added
ARG,Candida albicans,Amphotericin B,14,2010,2024,178,2,0.06274768824306558,-124.89696169088676,0.4707437121131783,True,v1,2026-07-08
ARG,Candida albicans,Flucytosine,4,2010,2013,36,7,0.0,0.0,,True,v1,2026-07-08
ARG,Candida albicans,Itraconazole,12,2010,2024,167,7,0.01996197718631144,-38.73162230671667,0.14886380629142468,True,v1,2026-07-08
ARG,Candida albicans,Posaconazole,14,2010,2024,178,2,-0.007793923381767754,16.75772787317879,-0.062293810403219234,True,v1,2026-07-08
ARG,Candida dubliniensis,Itraconazole,4,2012,2024,6,1,0.0873015873015879,-173.59983646967783,0.9343531843023135,True,v1,2026-07-08
ARG,Candida dubliniensis,Posaconazole,4,2012,2024,6,1,0.11746031746031901,-234.3728523426957,0.9323123667560937,True,v1,2026-07-08
ARG,Candida glabrata,Amphotericin B,13,2010,2024,36,1,0.013165952235151265,-25.17819963258057,0.12999838645513584,True,v1,2026-07-08
ARG,Candida glabrata,Fluconazole,13,2010,2024,36,1,0.15936925903245594,-325.1105327617889,0.6233237918916149,True,v1,2026-07-08
ARG,Candida glabrata,Flucytosine,3,2010,2012,6,1,0.0,0.0,,True,v1,2026-07-08
ARG,Candida glabrata,Itraconazole,11,2010,2024,34,1,0.1154939221468247,-231.2326996549102,0.472451412396006,True,v1,2026-07-08
ARG,Candida glabrata,Posaconazole,13,2010,2024,36,1,0.10619171041608191,-213.2797913156879,0.3916026913200318,True,v1,2026-07-08
ARG,Candida glabrata,Voriconazole,13,2010,2024,36,1,0.17424182566225815,-349.6164620855963,0.5719250854475538,True,v1,2026-07-08
ARG,Candida guilliermondii,Amphotericin B,4,2010,2018,5,1,0.07894736842105181,-157.42105263157717,0.4866642633922877,True,v1,2026-07-08
ARG,Candida guilliermondii,Flucytosine,3,2010,2013,3,1,-7.648115767649072e-17,1.0000000000001543,,True,v1,2026-07-08
ARG,Candida guilliermondii,Itraconazole,4,2010,2018,5,1,-0.026315789473660464,53.22368421047848,-0.07443229275647868,True,v1,2026-07-08
ARG,Candida guilliermondii,Posaconazole,4,2010,2018,5,1,0.026315789473697247,-52.973684210552534,0.11470786693528087,True,v1,2026-07-08
ARG,Candida krusei,Amphotericin B,5,2013,2021,9,1,1.9028124016606442e-17,0.9999999999999615,,True,v1,2026-07-08
ARG,Candida krusei,Itraconazole,5,2013,2021,9,1,0.12215909090908218,-245.0681818181641,0.8662596863272838,True,v1,2026-07-08
ARG,Candida krusei,Posaconazole,5,2013,2021,9,1,0.14204545454544765,-286.090909090895,0.8427498280790527,True,v1,2026-07-08
ARG,Candida lusitaniae,Amphotericin B,3,2013,2021,3,1,0.2653061224489968,-533.3673469388104,0.9285714285714285,True,v1,2026-07-08
ARG,Candida lusitaniae,Itraconazole,2,2013,2021,2,1,-0.13236171113169026,268.50301819714593,-1.0,True,v1,2026-07-08
ARG,Candida lusitaniae,Posaconazole,3,2013,2021,3,1,-0.13265306122449838,267.1836734694051,-0.9285714285714285,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,13,2010,2024,84,2,0.051218804410912214,-101.94341265235263,0.44092081015587387,True,v1,2026-07-08
ARG,Candida parapsilosis,Flucytosine,4,2010,2013,19,2,-1.4000000000000343,2814.350000000069,-0.8944271909999157,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,12,2010,2024,79,2,0.04954275674145935,-97.70246202948131,0.264808629015115,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,13,2010,2024,84,2,-0.025478595270142727,53.33910490949278,-0.15905219184482072,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,11,2011,2024,54,1,0.013421052631578986,-25.953421052631644,0.1725100733303933,True,v1,2026-07-08
ARG,Candida tropicalis,Flucytosine,2,2011,2013,5,2,0.0,0.0,,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,10,2011,2024,52,1,0.025543861770367337,-49.11788850632201,0.1505918091114275,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,11,2011,2024,54,1,0.0007894736842055648,-0.32078947367419597,0.0050738256861880176,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Amphotericin B,4,2013,2022,5,1,0.12222222222221626,-246.211111111099,0.9467292624062574,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Fluconazole,4,2013,2022,5,1,-1.980393608136673e-19,2.0000000000000004,,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Itraconazole,2,2013,2022,2,1,0.2287659654504033,-459.5058884516619,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Posaconazole,4,2013,2022,5,1,0.25164256199542384,-506.9225028415086,0.9467292624062573,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Voriconazole,4,2013,2022,5,1,0.12222222222221618,-244.15221742204528,0.9467292624062574,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,8,2016,2024,15,1,0.07218683651807448,-145.07643312107527,0.2960666214610192,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,8,2016,2024,15,1,-0.01723521736328346,35.832016898266396,-0.06837562181570499,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,13,2011,2024,171,1,0.002430815258045789,-4.405011219158239,0.02012798738920672,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,8,2017,2024,103,9,-0.10119047619049094,205.26785714288695,-0.6662825314191775,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,13,2011,2024,171,1,-0.06768885564696399,137.12415856393528,-0.5400988197080614,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,13,2011,2024,171,1,0.05123410620792851,-102.6133133881831,0.48370350941067747,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Voriconazole,13,2011,2024,171,1,-0.02655198204936134,54.84704562452664,-0.25067846108144604,True,v1,2026-07-08
AUS,Aspergillus niger,Itraconazole,8,2015,2024,18,1,0.08764607679465927,-176.53088480801637,0.578488251265598,True,v1,2026-07-08
AUS,Aspergillus niger,Posaconazole,8,2015,2024,18,1,0.10684474123539651,-214.7328881469199,0.6537422771563495,True,v1,2026-07-08
AUS,Aspergillus niger species complex,Itraconazole,12,2011,2024,34,1,-0.15513833992095372,312.66254940712497,-0.3695237895896258,True,v1,2026-07-08
AUS,Aspergillus niger species complex,Posaconazole,12,2011,2024,34,1,0.030632411067191695,-60.86808300394858,0.15939725457097018,True,v1,2026-07-08
AUS,Candida albicans,Amphotericin B,14,2011,2024,463,25,0.07472527472527422,-149.04395604395503,0.6667948594698256,True,v1,2026-07-08
AUS,Candida albicans,Flucytosine,3,2011,2013,98,29,0.0,0.0,,True,v1,2026-07-08
AUS,Candida albicans,Itraconazole,11,2011,2024,373,25,-0.03426510369702338,70.6077547339926,-0.2946267628132159,True,v1,2026-07-08
AUS,Candida albicans,Posaconazole,14,2011,2024,463,25,-0.0021978021978005706,5.3626373626340795,-0.014932027335788824,True,v1,2026-07-08
AUS,Candida dubliniensis,Flucytosine,3,2011,2013,8,2,0.0,0.0,,True,v1,2026-07-08
AUS,Candida dubliniensis,Itraconazole,10,2011,2024,36,1,0.00505050505050235,-7.53302550286017,0.04173192381967786,True,v1,2026-07-08
