pathogen_type,iso3_country,parsed_year,n_isolates_in_stratum,n_tested,n_event,burden_point_estimate,burden_midpoint_weighted,tier1_bound_lower_pooled,tier1_bound_upper_pooled,mean_evolutionary_fitness_slope,n_fitness_cells,mean_median_distance_to_failure,n_distance_cells,life_expectancy,health_expenditure_pct_gdp,hib3_coverage_pct,hib3_coverage_source,pcvc_coverage_pct,pcvc_coverage_source,antimicrobial_consumption_ddd,consumption_data_gap,consumption_data_available,sdi_included,gbd_lri_included,version,date_added
bacterial,ARE,2020,26,364.0,58.0,0.15934065934065933,0.16212534059945505,0.15803814713896458,0.16621253405994552,-0.5815787946496572,28.0,2.3747091575840997,28.0,81.936,5.82477045,90.0,WUENIC,84.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ARE,2021,57,798.0,201.0,0.2518796992481203,0.2534246575342466,0.2503113325031133,0.25653798256537985,-0.9613819073341725,28.0,1.4165673210986716,28.0,79.083,5.30494308,96.0,WUENIC,95.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ARG,2015,11,124.0,16.0,0.12903225806451613,0.16666666666666666,0.11594202898550725,0.21739130434782608,0.3066938967862087,22.0,2.6698682624572276,22.0,76.6,10.27364159,94.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ARG,2016,148,1628.0,208.0,0.12776412776412777,0.137125748502994,0.12455089820359282,0.1497005988023952,0.3108336606173506,22.0,2.9465687112159076,22.0,76.105,10.05355549,92.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ARG,2017,25,278.0,23.0,0.08273381294964029,0.11204013377926421,0.07692307692307693,0.14715719063545152,0.30898714725381976,22.0,3.224128015461457,22.0,76.543,10.26057911,86.0,WUENIC,78.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,BGR,2014,37,364.0,73.0,0.20054945054945056,0.22391725921137687,0.18717948717948718,0.26065503124326656,0.2747830782769093,19.0,2.46742371505192,19.0,74.46585365853659,7.68306208,83.0,WUENIC,92.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,BGR,2015,199,2006.0,248.0,0.12362911266201396,0.13165208854358412,0.1212121212121212,0.14209205587504706,0.2686806043641311,19.0,2.988423717119185,19.0,74.61463414634147,7.39363575,87.0,WUENIC,90.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,BGR,2016,1,11.0,1.0,0.09090909090909091,0.2,0.06666666666666667,0.3333333333333333,0.23530368487090766,11.0,3.4118221092256467,11.0,74.81219512195123,7.45975018,92.0,WUENIC,90.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CHL,2015,3,34.0,6.0,0.17647058823529413,0.23170731707317074,0.14634146341463414,0.3170731707317073,-0.6254418117866537,22.0,1.676505668056196,22.0,80.008,8.3513937,96.0,WUENIC,90.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CHL,2016,113,1244.0,256.0,0.2057877813504823,0.21294117647058824,0.2007843137254902,0.22509803921568627,-0.34284029533503196,22.0,1.3594984249406854,22.0,80.295,8.55767059,95.0,WUENIC,93.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CHL,2017,34,368.0,77.0,0.20923913043478262,0.2249357326478149,0.19794344473007713,0.2519280205655527,-0.17383788648471435,22.0,0.9921905879768527,22.0,80.61,9.090518,93.0,WUENIC,93.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CRI,2016,10,104.0,9.0,0.08653846153846154,0.13559322033898305,0.07627118644067796,0.19491525423728814,,10.0,2.511914931711021,22.0,79.988,7.31724358,97.0,WUENIC,94.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CRI,2017,44,440.0,51.0,0.1159090909090909,0.13577586206896552,0.10991379310344827,0.16163793103448276,-0.10294468445259412,10.0,1.8735574756214275,10.0,79.994,7.04522991,96.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,CZE,2014,24,201.0,15.0,0.07462686567164178,0.14522821576763487,0.06224066390041494,0.22821576763485477,-0.3923782161223075,19.0,2.329196285847957,19.0,78.82439024390244,7.53919601,99.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
