vaccine,target_organism,iso3_country,introduction_year,life_expectancy_pre_window_mean,life_expectancy_post_window_mean,life_expectancy_change_post_minus_pre,resistance_rate_pre_window_mean,resistance_rate_post_window_mean,resistance_rate_change_post_minus_pre,n_amr_years_pre_window,n_amr_years_post_window,resistance_window_status,pre_window_years,post_window_years,estimation_method,version,date_added
HIB,Haemophilus influenzae,ARE,2000,74.321,80.217,5.896000000000001,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ARG,2000,73.54750000000001,74.803,1.2554999999999836,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,AUS,2000,78.78170731707317,80.52357723577236,1.7418699186991944,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,BEL,2000,77.54634146341465,78.66260162601627,1.1162601626016198,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,BGR,2010,73.18780487804878,74.64715447154471,1.4593495934959293,,,,0,2,no_amr_surveillance_in_pre_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,BRA,2000,69.0295,71.359,2.329499999999996,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,CAN,2000,78.73134146341464,79.94000000000001,1.208658536585375,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,CHE,2000,79.45243902439026,80.9536585365854,1.501219512195135,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,CHL,2000,76.531,78.20633333333333,1.6753333333333273,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,COL,2000,70.9185,72.74166666666667,1.8231666666666797,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,CRI,2000,76.96350000000001,78.53433333333334,1.5708333333333258,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,CZE,2001,74.81829268292684,76.05691056910571,1.2386178861788721,,,,0,0,no_amr_surveillance_in_either_window,1999 to 2000,2004 to 2006,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,DEU,2000,77.60121951219513,78.66422764227643,1.0630081300813004,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ECU,2001,72.005,73.92899999999999,1.9239999999999924,,,,0,0,no_amr_surveillance_in_either_window,1999 to 2000,2004 to 2006,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ESP,2000,78.69146341463416,79.88699186991872,1.1955284552845598,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,FRA,2000,78.68048780487806,79.8138211382114,1.13333333333334,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,GBR,2000,77.29024390243904,78.74715447154472,1.4569105691056734,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,GHA,2001,57.987,59.643,1.6559999999999988,,,,0,0,no_amr_surveillance_in_either_window,1999 to 2000,2004 to 2006,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,GRC,2000,77.91341463414636,79.03983739837399,1.1264227642276268,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,HRV,2002,73.66036585365856,75.59569105691058,1.9353252032520203,,,,0,0,no_amr_surveillance_in_either_window,2000 to 2001,2005 to 2007,descriptive_before_after_not_causal_did,v1,2026-07-08
