pathogen_type,iso3_country,canonical_organism,canonical_drug,static_burden_midpoint,evolutionary_trajectory_slope,n_tested_total,low_n_flag,cluster_id,cluster_label,version,date_added,burden_percentile,trajectory_percentile,composite_priority_score,typology_label,typology_rank,methodology
fungal,BEL,Candida tropicalis,Flucytosine,0.53125,-3.5000000000038165,3,True,2,cluster_2,v1,2026-07-08,99.45652173913044,99.76708074534162,99.61180124223603,high_burden_high_trajectory,1,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,SVK,Candida lusitaniae,Flucytosine,0.5,-5.999999999999127,2,True,2,cluster_2,v1,2026-07-08,98.87422360248446,100.0,99.43711180124222,high_burden_high_trajectory,2,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,BEL,Candida lusitaniae,Flucytosine,0.5,-2.3333333333329382,2,True,2,cluster_2,v1,2026-07-08,98.87422360248446,99.68944099378882,99.28183229813664,high_burden_high_trajectory,3,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,AUS,Candida lusitaniae,Flucytosine,0.4473684210526316,-1.7500000000005298,4,True,2,cluster_2,v1,2026-07-08,98.13664596273291,99.37888198757764,98.75776397515529,high_burden_high_trajectory,4,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,SWE,Candida tropicalis,Flucytosine,0.3636363636363636,-2.1000000000000805,5,True,2,cluster_2,v1,2026-07-08,96.19565217391305,99.61180124223603,97.90372670807454,high_burden_high_trajectory,5,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,ARG,Candida parapsilosis,Flucytosine,0.3804347826086957,-1.4000000000000343,19,True,2,cluster_2,v1,2026-07-08,96.58385093167702,98.91304347826086,97.74844720496894,high_burden_high_trajectory,6,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,IND,Candida albicans,Posaconazole,0.3333333333333333,-4.529446844526125,3,True,2,cluster_2,v1,2026-07-08,94.83695652173914,99.9223602484472,97.37965838509317,high_burden_high_trajectory,7,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,IND,Candida albicans,Itraconazole,0.3333333333333333,-3.52944684452627,3,True,2,cluster_2,v1,2026-07-08,94.83695652173914,99.84472049689441,97.34083850931677,high_burden_high_trajectory,8,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,AUS,Candida krusei,Flucytosine,0.4,-0.7500000000000042,5,True,3,cluster_3,v1,2026-07-08,97.12732919254658,97.12732919254658,97.12732919254658,high_burden_high_trajectory,9,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
fungal,PRT,Candida lusitaniae,Posaconazole,0.5,-0.5000000000000611,2,True,3,cluster_3,v1,2026-07-08,98.87422360248446,95.3027950310559,97.08850931677017,high_burden_high_trajectory,10,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context."
