iso3_country,burden_midpoint_weighted,mean_evolutionary_fitness_slope,health_expenditure_pct_gdp,n_surveillance_years,consumption_included,consumption_data_gap,burden_risk_percentile,trajectory_risk_percentile,health_capacity_risk_percentile,consumption_risk_percentile,n_risk_components_available,composite_risk_score,risk_rank,pathogen_type,methodology,vaccination_excluded_note,version,date_added
SGP,0.28041773372406464,-0.8849347621796669,4.371271419072848,2,False,no_numeric_esac_net_series_locally,83.33333333333334,92.5925925925926,80.0,,3,85.30864197530865,1,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
KHM,0.2635306183735308,-1.3827712195174615,4.4566962784246575,2,False,no_numeric_esac_net_series_locally,76.66666666666667,100.0,73.33333333333333,,3,83.33333333333333,2,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
KEN,0.35956152433425165,-0.21201418889920537,4.253564884999999,3,False,no_numeric_esac_net_series_locally,93.33333333333333,66.66666666666666,83.33333333333334,,3,81.11111111111111,3,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
IND,0.3259668416384336,0.0999373595832186,3.3040216085344825,3,False,no_numeric_esac_net_series_locally,86.66666666666667,37.03703703703704,93.33333333333333,,3,72.34567901234568,4,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
PAK,0.2604674647985815,0.03019189519577483,2.7626157389566495,6,False,no_numeric_esac_net_series_locally,70.0,48.148148148148145,96.66666666666667,,3,71.60493827160495,5,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
ROU,0.33879388608539013,-0.08318310208236221,4.961136696434042,2,False,no_numeric_esac_net_series_locally,90.0,55.55555555555556,66.66666666666666,,3,70.74074074074073,6,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
GHA,0.1666666666666666,,2.68786979,1,False,no_numeric_esac_net_series_locally,36.666666666666664,,100.0,,2,68.33333333333333,7,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
SVK,0.2530989453314576,-1.0575689157147754,6.788145955418059,2,False,no_numeric_esac_net_series_locally,66.66666666666666,96.29629629629629,40.0,,3,67.65432098765432,8,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
ARE,0.22482487150648056,-0.8424074383004688,5.467780569397591,2,False,no_numeric_esac_net_series_locally,60.0,88.88888888888889,53.333333333333336,,3,67.4074074074074,9,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
VNM,0.6364964803440051,0.19305037687175375,4.652606445235937,5,False,no_numeric_esac_net_series_locally,100.0,25.925925925925924,70.0,,3,65.30864197530865,10,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
HRV,0.2149045907947893,-0.6732628006729974,6.640656959204036,3,False,no_numeric_esac_net_series_locally,53.333333333333336,85.18518518518519,43.333333333333336,,3,60.61728395061729,11,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
SAU,0.21321419101852393,-0.5668740393507304,6.146597266700611,3,False,no_numeric_esac_net_series_locally,50.0,77.77777777777779,50.0,,3,59.25925925925926,12,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
SRB,0.3624031009310055,,8.539480741851529,2,False,no_numeric_esac_net_series_locally,96.66666666666667,,16.666666666666664,,2,56.66666666666667,13,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
TUR,0.18280998126662998,0.075500172776617,4.446746632774577,7,False,no_numeric_esac_net_series_locally,46.666666666666664,44.44444444444444,76.66666666666667,,3,55.925925925925924,14,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
MAR,0.162050250315819,-0.5353445605456043,5.052129708059701,2,False,no_numeric_esac_net_series_locally,33.33333333333333,74.07407407407408,60.0,,3,55.80246913580246,15,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
KWT,0.26285189619050325,0.1865768626297724,5.050462725021459,7,False,no_numeric_esac_net_series_locally,73.33333333333333,29.629629629629626,63.33333333333333,,3,55.4320987654321,16,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
GRC,0.24081652328809586,-0.6207138424343511,8.171823097242077,3,False,no_numeric_esac_net_series_locally,63.33333333333333,81.48148148148148,20.0,,3,54.93827160493827,17,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
PHL,0.09637392853303087,-0.15742922831988285,3.956475017229219,2,False,no_numeric_esac_net_series_locally,10.0,62.96296296296296,86.66666666666667,,3,53.20987654320987,18,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
TUN,0.27199602169653786,0.19334460812345747,6.640581303087941,6,False,no_numeric_esac_net_series_locally,80.0,22.22222222222222,46.666666666666664,,3,49.629629629629626,19,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
CHL,0.21601046289446862,-0.31089349406069305,8.67253962561361,3,False,no_numeric_esac_net_series_locally,56.666666666666664,70.37037037037037,13.333333333333334,,3,46.79012345679013,20,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
