cohort,row_index,evaluable_flag,reason,version,date_added
SOAR_207965,10,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,25,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,35,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,39,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,56,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,57,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,96,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,126,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,144,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,145,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,146,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,163,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,164,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,173,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,189,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,234,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,254,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,316,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,317,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,318,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,319,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,320,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,321,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,335,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,336,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,337,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,342,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,345,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,376,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,397,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,409,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,410,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,479,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,508,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,509,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,516,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,565,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,566,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,567,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,568,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,569,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,570,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,571,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,582,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,583,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,584,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,585,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,586,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,589,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,590,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,604,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,605,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,606,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
SOAR_207965,607,N,Evaluable = N; excluded from resistance-rate denominators per Step 6 Action,v1,2026-07-06
