cohort,canonical_drug,r_isolate_count,r_row_count,tested_isolate_count,rate_pct_tested_isolates,rate_pct_all_raw_isolates,rate_pct_analysis_ready_isolates,denominator_shift_pp,version,date_added
SOAR_207965,amoxicillin,370,370,2521,14.6767,11.806,14.6767,2.8707,v1,2026-07-07
SOAR_207965,amoxicillin/clavulanate,223,374,2521,8.8457,7.1155,8.8457,1.7302,v1,2026-07-07
SOAR_207965,ampicillin,399,399,1528,26.1126,12.7313,15.8271,13.3812,v1,2026-07-07
SOAR_207965,azithromycin,540,540,2521,21.4201,17.2304,21.4201,4.1897,v1,2026-07-07
SOAR_207965,cefaclor,652,652,2521,25.8628,20.8041,25.8628,5.0587,v1,2026-07-07
SOAR_207965,cefdinir,0,0,2521,0.0,0.0,0.0,0.0,v1,2026-07-07
SOAR_207965,cefixime,254,254,2521,10.0754,8.1047,10.0754,1.9707,v1,2026-07-07
SOAR_207965,cefotaxime,200,200,2521,7.9334,6.3816,7.9334,1.5517,v1,2026-07-07
SOAR_207965,cefpodoxime,630,630,2521,24.9901,20.1021,24.9901,4.888,v1,2026-07-07
SOAR_207965,ceftibuten,242,242,2521,9.5994,7.7218,9.5994,1.8776,v1,2026-07-07
SOAR_207965,ceftriaxone,126,126,2521,4.998,4.0204,4.998,0.9776,v1,2026-07-07
SOAR_207965,cefuroxime,540,540,2521,21.4201,17.2304,21.4201,4.1897,v1,2026-07-07
SOAR_207965,clarithromycin,519,519,2521,20.5871,16.5603,20.5871,4.0268,v1,2026-07-07
SOAR_207965,doxycycline,405,405,993,40.7855,12.9228,16.0651,27.8627,v1,2026-07-07
SOAR_207965,erythromycin,539,539,993,54.28,17.1985,21.3804,37.0815,v1,2026-07-07
SOAR_207965,levofloxacin,340,340,2521,13.4867,10.8488,13.4867,2.638,v1,2026-07-07
SOAR_207965,moxifloxacin,303,303,2521,12.019,9.6682,12.019,2.3509,v1,2026-07-07
SOAR_207965,penicillin,110,110,993,11.0775,3.5099,4.3633,7.5677,v1,2026-07-07
SOAR_207965,tetracycline,542,542,2521,21.4994,17.2942,21.4994,4.2052,v1,2026-07-07
SOAR_207965,trimethoprim/sulfamethoxazole,1142,1142,2521,45.2995,36.4391,45.2995,8.8604,v1,2026-07-07
