cohort,isolate_id,reason,version,date_added
SOAR_207965,2281766,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281839,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281764,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281843,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281807,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281975,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281977,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281966,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281971,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2126512,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2126552,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2281967,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2126565,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2127346,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2128601,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2128635,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2128630,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2128652,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
SOAR_207965,2572527,isolate has zero non-null values across every drug column - cannot appear in a long-format isolate-drug table without fabricating a measurement,v1,2026-07-06
